"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2024","2,574.25","2,637.10","2,692.61","2,557.87","339.45K","-2.38%"
"08/19/2024","2,637.10","2,612.10","2,647.65","2,565.17","252.46K","0.96%"
"08/18/2024","2,612.10","2,614.35","2,682.09","2,596.76","197.89K","-0.09%"
"08/17/2024","2,614.35","2,592.38","2,626.62","2,588.44","104.83K","0.85%"
"08/16/2024","2,592.38","2,569.90","2,627.47","2,552.92","305.13K","0.89%"
"08/15/2024","2,569.44","2,662.95","2,675.13","2,525.00","387.82K","-3.51%"
"08/14/2024","2,662.95","2,702.44","2,761.71","2,636.00","365.55K","-1.48%"
"08/13/2024","2,702.95","2,722.66","2,737.55","2,612.80","351.28K","-0.72%"
"08/12/2024","2,722.64","2,553.57","2,747.46","2,518.31","516.79K","6.62%"
"08/11/2024","2,553.57","2,609.91","2,713.68","2,545.99","319.79K","-2.17%"
"08/10/2024","2,610.24","2,598.79","2,640.46","2,579.59","186.39K","0.44%"
"08/09/2024","2,598.90","2,682.25","2,703.80","2,556.98","443.65K","-3.16%"
"08/08/2024","2,683.84","2,342.81","2,716.50","2,322.98","626.93K","14.80%"
"08/07/2024","2,337.83","2,461.84","2,550.36","2,311.79","671.86K","-5.04%"
"08/06/2024","2,461.92","2,415.98","2,548.23","2,415.98","691.59K","1.90%"
"08/05/2024","2,415.99","2,688.59","2,696.91","2,166.31","2.81M","-10.14%"
"08/04/2024","2,688.55","2,904.59","2,931.40","2,639.79","543.64K","-7.44%"
"08/03/2024","2,904.59","2,990.32","3,017.57","2,863.44","371.14K","-2.87%"
"08/02/2024","2,990.32","3,203.37","3,217.36","2,967.43","415.57K","-6.70%"
"08/01/2024","3,204.93","3,231.81","3,242.07","3,082.01","350.33K","-0.83%"
"07/31/2024","3,231.84","3,278.94","3,348.63","3,216.48","255.01K","-1.44%"
"07/30/2024","3,278.94","3,318.24","3,366.02","3,237.67","210.28K","-1.18%"
"07/29/2024","3,318.24","3,270.32","3,396.70","3,260.86","340.45K","1.47%"
"07/28/2024","3,270.32","3,248.83","3,282.54","3,201.64","113.09K","0.72%"
"07/27/2024","3,247.06","3,275.12","3,326.91","3,199.80","247.90K","-0.86%"
"07/26/2024","3,275.12","3,175.52","3,285.72","3,173.08","281.13K","3.14%"
"07/25/2024","3,175.52","3,335.33","3,342.15","3,089.07","524.98K","-4.79%"
"07/24/2024","3,335.33","3,482.54","3,487.04","3,311.80","292.51K","-4.23%"
"07/23/2024","3,482.54","3,440.01","3,537.89","3,396.70","521.07K","1.24%"
"07/22/2024","3,440.01","3,535.55","3,559.66","3,424.86","219.41K","-2.70%"
"07/21/2024","3,535.55","3,517.04","3,544.71","3,415.57","230.63K","0.53%"
"07/20/2024","3,517.04","3,504.42","3,538.32","3,480.08","157.77K","0.36%"
"07/19/2024","3,504.42","3,425.95","3,539.42","3,377.94","317.73K","2.29%"
"07/18/2024","3,425.94","3,387.83","3,489.43","3,374.48","256.50K","1.13%"
"07/17/2024","3,387.81","3,443.02","3,514.65","3,378.55","312.39K","-1.60%"
"07/16/2024","3,442.99","3,483.50","3,494.60","3,347.85","392.52K","-1.20%"
"07/15/2024","3,484.78","3,243.50","3,490.89","3,233.77","329.57K","7.44%"
